week,venue,size_bucket,project_contract_address,swap_count,total_volume_usd,total_token_bought,total_token_sold
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,10k-100k,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13876,500387632.8517579,243873277.93584538,257185155.21717352
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,1k-10k,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,8380,34171483.27830623,18966684.851366226,15240272.834892923
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,0.5k-1k,0x11b815efb8f581194ae79006d24e0d814b7697f6,1208,880566.1010526693,395829.0666828355,485103.40788672614
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,100k+,0x11b815efb8f581194ae79006d24e0d814b7697f6,654,115073698.23447601,60357813.079443775,54797971.17489319
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,10k-100k,0x11b815efb8f581194ae79006d24e0d814b7697f6,12492,396565937.3068043,195592737.76239118,201344582.8605942
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,1k-10k,0x11b815efb8f581194ae79006d24e0d814b7697f6,4937,24814845.377452906,13384663.44352123,11447895.958662141
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,0.5k-1k,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,97,73413.94193388331,36198.52709670513,37361.27820472178
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,100k+,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,29,6461180.881556237,1050255.91234835,5431577.113751447
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,10k-100k,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,1655,42573402.19882606,20928878.839372866,21747968.008137852
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,1k-10k,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,1091,6441056.256802793,3061336.350814835,3393002.0479728454
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,0.5k-1k,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,310,221391.46535865642,99317.80650195564,122461.23492322455
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,100k+,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,889,190992159.16592765,98095001.56596936,93251513.33047126
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,10k-100k,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,2450,108774049.14535105,47842158.382312976,61130441.55084715
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,1k-10k,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,712,2776547.8362284214,1390128.1865088898,1390704.5903138244
2025-07-21 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,0.5k-1k,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,89,62136.00439731165,31201.13399252932,31107.896154819864
2025-07-21 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,1k-10k,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,31,39955.87422510431,18768.28005007178,21317.02604560368
2025-07-28 00:00:00.000 UTC,curve_usdcwbtcweth,0.5k-1k,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,366,280705.8502684974,90484.1562444238,142458.99072451633
2025-07-28 00:00:00.000 UTC,curve_usdcwbtcweth,100k+,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,5,701600.0473813532,420821.4265155355,278863.6309862711
2025-07-28 00:00:00.000 UTC,curve_usdcwbtcweth,10k-100k,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,776,14648918.305366125,6388088.587504456,6319528.426660651
2025-07-28 00:00:00.000 UTC,curve_usdcwbtcweth,1k-10k,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,5472,22552813.8400675,9499091.625525014,9317346.953696495
2025-07-28 00:00:00.000 UTC,curve_usdt,0.5k-1k,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4,39,30808.576490492815,20071.786556680665,10093.670678035302
2025-07-28 00:00:00.000 UTC,curve_usdt,10k-100k,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4,730,15699536.097597934,6967357.388733594,6712824.916852538
2025-07-28 00:00:00.000 UTC,curve_usdt,1k-10k,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4,1312,6747429.664728309,3136932.388859382,2928593.146900511
2025-07-28 00:00:00.000 UTC,curve_usdtwbtcweth,0.5k-1k,0xd51a44d3fae010294c616388b506acda1bfaae46,143,111504.58795628474,53557.10129386259,45384.41960250915
2025-07-28 00:00:00.000 UTC,curve_usdtwbtcweth,10k-100k,0xd51a44d3fae010294c616388b506acda1bfaae46,382,6476323.333211235,2793835.6136196777,2759590.418674045
2025-07-28 00:00:00.000 UTC,curve_usdtwbtcweth,1k-10k,0xd51a44d3fae010294c616388b506acda1bfaae46,4490,16570861.58654693,6863326.438506335,6604860.382015951
2025-07-28 00:00:00.000 UTC,sushiv2_ethusdt,0.5k-1k,0x06da0fd433c1a5d7a4faa01111c044910a184553,353,247428.33543888637,143711.73302750426,104085.91688019736
2025-07-28 00:00:00.000 UTC,sushiv2_ethusdt,10k-100k,0x06da0fd433c1a5d7a4faa01111c044910a184553,3,35849.05156763054,22048.300076878124,14005.776816116406
2025-07-28 00:00:00.000 UTC,sushiv2_ethusdt,1k-10k,0x06da0fd433c1a5d7a4faa01111c044910a184553,139,214202.056609743,121830.5155075657,92676.42849165114
2025-07-28 00:00:00.000 UTC,sushiv2_usdceth,0.5k-1k,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,439,310526.8663513084,154714.21451684777,156226.63722295914
2025-07-28 00:00:00.000 UTC,sushiv2_usdceth,1k-10k,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,316,485185.2623702005,302059.3881549682,183784.78791687085
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,0.5k-1k,0xe0554a476a092703abdb3ef35c80e0d76d32939f,9762,7126127.0457291445,3693811.2174011148,3430884.190785906
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,100k+,0xe0554a476a092703abdb3ef35c80e0d76d32939f,987,383444518.49825925,191316190.918369,191164644.74608967
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,10k-100k,0xe0554a476a092703abdb3ef35c80e0d76d32939f,13851,269489949.90642595,134968157.13334894,134635002.60884586
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,1k-10k,0xe0554a476a092703abdb3ef35c80e0d76d32939f,34505,145108427.0886733,73619202.19822124,71530896.65104643
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,0.5k-1k,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,8624,6311707.30384735,3411287.7486076113,2900305.5234659943
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,100k+,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,1090,375936673.0807843,189289932.61439988,187779731.0519395
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,10k-100k,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,13455,271130784.96425986,134527200.48689377,136733127.2138254
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,1k-10k,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,35177,147431288.88084757,75713204.16162449,71770132.40480699
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,0.5k-1k,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,2699,1945655.873660169,974888.8342830117,971015.0016840356
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,100k+,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,917,167162347.17472693,90617686.9532756,76543240.02697928
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,10k-100k,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12562,421311935.33015954,208526783.4084869,213068846.0899502
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,1k-10k,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,8248,35561383.045253344,18466102.883989733,17105448.089860637
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,0.5k-1k,0x11b815efb8f581194ae79006d24e0d814b7697f6,1353,990744.9278508001,418686.21923729446,572104.5770428687
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,100k+,0x11b815efb8f581194ae79006d24e0d814b7697f6,1462,266779070.59762943,142830170.85493976,124066104.93200819
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,10k-100k,0x11b815efb8f581194ae79006d24e0d814b7697f6,12959,476418851.24254584,236729201.5826067,240037729.89242166
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,1k-10k,0x11b815efb8f581194ae79006d24e0d814b7697f6,5308,25453635.217906404,13182618.850807507,12278785.901929306
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,0.5k-1k,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,92,66780.6029766916,27236.504803516287,39647.28273904606
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,100k+,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,27,5389412.718145307,3679464.8135970067,1703659.3904855219
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,10k-100k,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,1493,37843576.20787576,20614356.091347907,17282376.17147313
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,1k-10k,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,1112,6331030.007867621,2470436.8071899153,3869691.6169277527
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,0.5k-1k,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,221,154428.56230918283,73048.3111546105,81617.57551564353
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,100k+,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,904,205149367.36254618,119296997.5251673,86143818.81280768
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,10k-100k,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,2216,99404342.34835659,44574957.75678889,54984631.028585196
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,1k-10k,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,561,2429566.8677526596,1112613.9097962808,1320043.550736747
2025-07-28 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,0.5k-1k,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,79,56589.40628107759,41703.7092778181,14947.401584526197
2025-07-28 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,1k-10k,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,26,33761.012031222854,30447.083814068275,3331.140669564379
2025-08-04 00:00:00.000 UTC,curve_usdcwbtcweth,0.5k-1k,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,236,188852.4447119822,69076.87425111514,95684.31643774243
2025-08-04 00:00:00.000 UTC,curve_usdcwbtcweth,100k+,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,2,231297.67471637152,119271.84831657047,111054.521182
2025-08-04 00:00:00.000 UTC,curve_usdcwbtcweth,10k-100k,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,300,5960110.427235648,2486744.5315701733,2468960.584861768
2025-08-04 00:00:00.000 UTC,curve_usdcwbtcweth,1k-10k,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,3422,12587621.615137307,4785584.122188608,5366761.5179631105
2025-08-04 00:00:00.000 UTC,curve_usdt,0.5k-1k,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4,26,19024.504582460686,7125.317306249886,9740.000465790672
2025-08-04 00:00:00.000 UTC,curve_usdt,10k-100k,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4,215,4475264.859885797,1718947.7110405334,2089763.0843181973
2025-08-04 00:00:00.000 UTC,curve_usdt,1k-10k,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4,720,3494776.347428129,1117030.3007711743,1594928.1002746588
2025-08-04 00:00:00.000 UTC,curve_usdtwbtcweth,0.5k-1k,0xd51a44d3fae010294c616388b506acda1bfaae46,80,60171.17717642041,28758.897454098915,21201.54726839015
2025-08-04 00:00:00.000 UTC,curve_usdtwbtcweth,10k-100k,0xd51a44d3fae010294c616388b506acda1bfaae46,163,2670556.1761017437,1153378.9870874756,1204303.3398663255
2025-08-04 00:00:00.000 UTC,curve_usdtwbtcweth,1k-10k,0xd51a44d3fae010294c616388b506acda1bfaae46,3014,10353596.169854071,3727171.177191561,4199949.655630214
