week,venue,size_bucket,swap_count,total_volume_usd,total_token_bought,total_token_sold
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,100k+,1637,323012847.8107572,164012736.1582712,159466568.84036374
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,10k-100k,13876,500387632.85175794,243873277.9358454,257185155.2171735
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,1k-10k,8380,34171483.27830624,18966684.851366222,15240272.834892925
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,0.5k-1k,1208,880566.1010526693,395829.0666828355,485103.40788672614
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,100k+,654,115073698.234476,60357813.079443775,54797971.1748932
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,10k-100k,12492,396565937.3068044,195592737.76239118,201344582.86059424
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,1k-10k,4937,24814845.377452902,13384663.44352123,11447895.958662141
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,0.5k-1k,97,73413.94193388331,36198.527096705126,37361.27820472178
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,100k+,29,6461180.881556235,1050255.91234835,5431577.113751447
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,10k-100k,1655,42573402.19882606,20928878.83937287,21747968.008137852
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,1k-10k,1091,6441056.256802793,3061336.350814835,3393002.0479728454
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,0.5k-1k,310,221391.4653586564,99317.80650195564,122461.23492322458
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,100k+,889,190992159.16592765,98095001.56596936,93251513.33047128
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,10k-100k,2450,108774049.14535107,47842158.38231297,61130441.55084714
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,1k-10k,712,2776547.8362284214,1390128.1865088895,1390704.5903138244
2025-07-21 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,0.5k-1k,89,62136.00439731165,31201.133992529318,31107.896154819864
2025-07-21 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,1k-10k,31,39955.8742251043,18768.280050071775,21317.02604560368
2025-07-28 00:00:00.000 UTC,curve_usdcwbtcweth,0.5k-1k,366,280705.8502684974,90484.1562444238,142458.99072451633
2025-07-28 00:00:00.000 UTC,curve_usdcwbtcweth,100k+,5,701600.0473813532,420821.4265155355,278863.6309862711
2025-07-28 00:00:00.000 UTC,curve_usdcwbtcweth,10k-100k,776,14648918.305366125,6388088.587504456,6319528.426660651
2025-07-28 00:00:00.000 UTC,curve_usdcwbtcweth,1k-10k,5472,22552813.8400675,9499091.625525014,9317346.953696495
2025-07-28 00:00:00.000 UTC,curve_usdt,0.5k-1k,39,30808.576490492815,20071.786556680665,10093.670678035302
2025-07-28 00:00:00.000 UTC,curve_usdt,10k-100k,730,15699536.097597934,6967357.388733594,6712824.916852538
2025-07-28 00:00:00.000 UTC,curve_usdt,1k-10k,1312,6747429.664728309,3136932.388859382,2928593.146900511
2025-07-28 00:00:00.000 UTC,curve_usdtwbtcweth,0.5k-1k,143,111504.58795628474,53557.10129386259,45384.41960250915
2025-07-28 00:00:00.000 UTC,curve_usdtwbtcweth,10k-100k,382,6476323.333211235,2793835.6136196777,2759590.418674045
2025-07-28 00:00:00.000 UTC,curve_usdtwbtcweth,1k-10k,4490,16570861.58654693,6863326.438506335,6604860.382015951
2025-07-28 00:00:00.000 UTC,sushiv2_ethusdt,0.5k-1k,353,247428.33543888637,143711.73302750426,104085.91688019736
2025-07-28 00:00:00.000 UTC,sushiv2_ethusdt,10k-100k,3,35849.05156763054,22048.300076878124,14005.776816116406
2025-07-28 00:00:00.000 UTC,sushiv2_ethusdt,1k-10k,139,214202.056609743,121830.5155075657,92676.42849165114
2025-07-28 00:00:00.000 UTC,sushiv2_usdceth,0.5k-1k,439,310526.8663513084,154714.21451684777,156226.63722295914
2025-07-28 00:00:00.000 UTC,sushiv2_usdceth,1k-10k,316,485185.2623702005,302059.3881549682,183784.78791687085
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,0.5k-1k,9762,7126127.0457291445,3693811.2174011143,3430884.1907859067
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,100k+,987,383444518.4982593,191316190.91836902,191164644.7460897
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,10k-100k,13851,269489949.9064259,134968157.13334894,134635002.6088459
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,1k-10k,34505,145108427.0886733,73619202.19822124,71530896.65104643
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,0.5k-1k,8624,6311707.30384735,3411287.7486076113,2900305.5234659943
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,100k+,1090,375936673.0807842,189289932.61439988,187779731.0519395
