week,venue,size_bucket,swap_count,total_volume_usd,total_eth_volume,project_contract_address
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,1k-10k,38535,162892987.06794164,43928.780602420906,0xe0554a476a092703abdb3ef35c80e0d76d32939f
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,0.5k-1k,10287,7592667.979698577,2045.768563435168,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,100k+,1559,532573934.17514503,144042.21227843635,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,10k-100k,13188,260014778.4200778,70185.2060690398,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,1k-10k,40892,175600724.15294817,47347.06987802275,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,0.5k-1k,3395,2452118.6686841515,660.9647286302769,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,100k+,1637,323012847.8107573,87127.90164591561,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,10k-100k,13876,500387632.85175794,134891.32721035348,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,1k-10k,8380,34171483.27830624,9228.93335613592,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,0.5k-1k,1208,880566.1010526693,237.5417395616611,0x11b815efb8f581194ae79006d24e0d814b7697f6
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,100k+,654,115073698.23447601,31023.761004978365,0x11b815efb8f581194ae79006d24e0d814b7697f6
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,10k-100k,12492,396565937.30680436,107118.85479830683,0x11b815efb8f581194ae79006d24e0d814b7697f6
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,1k-10k,4937,24814845.377452902,6699.095725368219,0x11b815efb8f581194ae79006d24e0d814b7697f6
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,0.5k-1k,97,73413.94193388331,19.843684426912088,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,100k+,29,6461180.881556237,1704.303577796765,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,10k-100k,1655,42573402.19882606,11531.582673718825,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,1k-10k,1091,6441056.256802794,1742.6359436812784,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,0.5k-1k,310,221391.4653586564,59.90646418018041,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,100k+,889,190992159.16592765,51600.08603061091,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,10k-100k,2450,108774049.14535105,29457.537201134695,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,1k-10k,712,2776547.8362284214,753.769649713932,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2025-07-21 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,0.5k-1k,89,62136.004397311655,16.94563434918085,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387
2025-07-21 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,1k-10k,31,39955.8742251043,10.870964675454273,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387
2025-07-28 00:00:00.000 UTC,curve_usdcwbtcweth,0.5k-1k,366,280705.8502684974,68.74275090011287,0x7f86bf177dd4f3494b841a37e810a34dd56c829b
2025-07-28 00:00:00.000 UTC,curve_usdcwbtcweth,100k+,5,701600.0473813532,152.08594122661054,0x7f86bf177dd4f3494b841a37e810a34dd56c829b
2025-07-28 00:00:00.000 UTC,curve_usdcwbtcweth,10k-100k,776,14648918.305366125,3449.451427789697,0x7f86bf177dd4f3494b841a37e810a34dd56c829b
2025-07-28 00:00:00.000 UTC,curve_usdcwbtcweth,1k-10k,5472,22552813.8400675,5272.558955481452,0x7f86bf177dd4f3494b841a37e810a34dd56c829b
2025-07-28 00:00:00.000 UTC,curve_usdt,0.5k-1k,39,30808.576490492815,7.96288291596529,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4
2025-07-28 00:00:00.000 UTC,curve_usdt,10k-100k,730,15699536.097597934,3932.156899944709,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4
2025-07-28 00:00:00.000 UTC,curve_usdt,1k-10k,1312,6747429.664728309,1653.845251539278,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4
2025-07-28 00:00:00.000 UTC,curve_usdtwbtcweth,0.5k-1k,143,111504.58795628474,26.50489155175561,0xd51a44d3fae010294c616388b506acda1bfaae46
2025-07-28 00:00:00.000 UTC,curve_usdtwbtcweth,10k-100k,382,6476323.333211235,1502.9196785435893,0xd51a44d3fae010294c616388b506acda1bfaae46
2025-07-28 00:00:00.000 UTC,curve_usdtwbtcweth,1k-10k,4490,16570861.58654693,4071.298686074236,0xd51a44d3fae010294c616388b506acda1bfaae46
2025-07-28 00:00:00.000 UTC,sushiv2_ethusdt,0.5k-1k,353,247428.33543888637,67.83273670161097,0x06da0fd433c1a5d7a4faa01111c044910a184553
2025-07-28 00:00:00.000 UTC,sushiv2_ethusdt,10k-100k,3,35849.05156763054,9.42139599452825,0x06da0fd433c1a5d7a4faa01111c044910a184553
2025-07-28 00:00:00.000 UTC,sushiv2_ethusdt,1k-10k,139,214202.056609743,57.98528821686223,0x06da0fd433c1a5d7a4faa01111c044910a184553
2025-07-28 00:00:00.000 UTC,sushiv2_usdceth,0.5k-1k,439,310526.8663513084,85.60698080690486,0x397ff1542f962076d0bfe58ea045ffa2d347aca0
2025-07-28 00:00:00.000 UTC,sushiv2_usdceth,1k-10k,316,485185.2623702005,132.02728883909896,0x397ff1542f962076d0bfe58ea045ffa2d347aca0
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,0.5k-1k,9762,7126127.045729145,1947.0808140211384,0xe0554a476a092703abdb3ef35c80e0d76d32939f
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,100k+,987,383444518.4982592,104763.56398067104,0xe0554a476a092703abdb3ef35c80e0d76d32939f
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,10k-100k,13851,269489949.90642583,73031.09214472488,0xe0554a476a092703abdb3ef35c80e0d76d32939f
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,1k-10k,34505,145108427.0886733,39676.69720761699,0xe0554a476a092703abdb3ef35c80e0d76d32939f
