week,project_contract_address,symbol,fee_tier,tvl_usd
2022-05-30,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,40340306.5
2022-05-30,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,28301895.5
2022-05-30,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,83786993.0
2022-05-30,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,125246990.0
2022-05-30,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,9399340.5
2022-05-30,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,285083802.1666667
2022-05-30,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,324347635.1666667
2022-05-30,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,225891795.57142857
2022-05-30,0xe0554a476a092703abdb3ef35c80e0d76d32939f,USDC-WETH,0.01%,122054.16666666667
2022-06-06,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,37897417.0
2022-06-06,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,31842524.57142857
2022-06-06,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,95053897.14285715
2022-06-06,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,146272416.2857143
2022-06-06,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,10157898.714285715
2022-06-06,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,294537305.14285713
2022-06-06,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,338675726.0
2022-06-06,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,219760104.0
2022-06-06,0xe0554a476a092703abdb3ef35c80e0d76d32939f,USDC-WETH,0.01%,119963.0
2022-06-13,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,23146692.85714286
2022-06-13,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,20958751.57142857
2022-06-13,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,53124429.28571428
2022-06-13,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,109206471.71428572
2022-06-13,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,19117773.714285713
2022-06-13,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,191200315.42857143
2022-06-13,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,286263097.85714287
2022-06-13,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,132715661.5
2022-06-20,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,22843417.42857143
2022-06-20,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,22613763.714285713
2022-06-20,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,43968832.428571425
2022-06-20,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,122518106.14285715
2022-06-20,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,28067826.0
2022-06-20,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,194255264.85714287
2022-06-20,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,329013175.14285713
2022-06-20,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,119999714.35714285
2022-06-27,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,22317749.714285713
2022-06-27,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,23329223.285714287
2022-06-27,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,41412713.571428575
2022-06-27,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,120552973.0
2022-06-27,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,27601027.14285714
2022-06-27,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,203535650.7142857
2022-06-27,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,300566890.14285713
2022-06-27,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,107812058.85714285
2022-07-04,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,23342887.57142857
2022-07-04,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,25335539.57142857
2022-07-04,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,42853389.71428572
2022-07-04,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,122214434.85714285
2022-07-04,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,28291034.0
2022-07-04,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,223343630.2857143
2022-07-04,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,308289067.0
2022-07-04,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,111991557.28571428
2022-07-11,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,23161796.285714287
2022-07-11,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,25030718.0
2022-07-11,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,42794153.71428572
2022-07-11,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,122591545.42857143
2022-07-11,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,27424564.714285713
2022-07-11,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,226652868.42857143
2022-07-11,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,314850696.71428573
2022-07-11,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,117648854.85714285
2022-07-18,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,23334173.14285714
2022-07-18,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,26844049.714285713
2022-07-18,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,35966480.28571428
2022-07-18,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,132901229.0
2022-07-18,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,33543593.57142857
2022-07-18,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,264979751.0
2022-07-18,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,322910374.0
2022-07-18,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,147671962.3846154
2022-07-25,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,24581484.14285714
2022-07-25,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,27374790.714285713
2022-07-25,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,36122225.85714286
2022-07-25,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,132403004.42857143
2022-07-25,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,35731463.428571425
2022-07-25,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,273262365.85714287
2022-07-25,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,325893832.0
2022-07-25,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,136083424.0
